"rule_id","bucket","authority","standard","standard_versions","severity","executability","pattern","status","core_id","cg_ids","tig_ids","fb_ids","p21_id_equivalent","p21_primitive","overlap_type","message","check_tree_preview","converted_at","notes"
"CG0001","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"DOMAIN = valid Domain Code published by CDISC",NA,NA,NA
"CG0002","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"--DUR collected and not derived",NA,NA,NA
"CG0006","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DY calculated as per the study day algorithm as a non-zero integer value",NA,NA,NA
"CG0007","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--DY = null",NA,NA,NA
"CG0008","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--ELTM = null",NA,NA,NA
"CG0009","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"EPOCH in TA.EPOCH",NA,NA,NA
"CG0010","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Metadata attribute of Variable Role = IG Role for domains in IG, Metadata attribute of Variable Role = Model Role for custom domains",NA,NA,NA
"CG0011","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"Variable Format = SDTM-specified controlled terminology and format guidelines for variables, when provided",NA,NA,NA
"CG0012","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Variable Type = IG Type for domains in IG, Type = Model Type for custom domains",NA,NA,NA
"CG0013","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Variable = Model List of Allowed Variables for Observation Class",NA,NA,NA
"CG0014","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Variable present in dataset and ^= null",NA,NA,NA
"CG0015","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"Variable present in dataset and ^= null",NA,NA,NA
"CG0016","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Variable present in dataset",NA,NA,NA
"CG0017","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Split dataset names length > 2 and <= 4",NA,NA,NA
"CG0018","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Split dataset names length <= 8",NA,NA,NA
"CG0019","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"Each record is unique per sponsor defined key variables as documented in the define.xml",NA,NA,NA
"CG0020","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"Value in associated codelist or 'MULTIPLE'",NA,NA,NA
"CG0021","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","narrative",NA,"narrative",NA,NA,NA,NA,NA,NA,NA,"Value in associated codelist or 'OTHER'",NA,NA,NA
"CG0022","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--LNKGRP present in another domain",NA,NA,NA
"CG0024","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--LNKID present in another domain",NA,NA,NA
"CG0026","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--RFTDTC = null",NA,NA,NA
"CG0027","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--SCAT ^= --CAT",NA,NA,NA
"CG0028","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--SEQ is a unique number per USUBJID per domain, or a unique number per POOLID per domain, including when the domain is split into multiple files",NA,NA,NA
"CG0029","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"USUBJID in DM.USUBJID",NA,NA,NA
"CG0031","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"VISIT in TV.VISIT",NA,NA,NA
"CG0032","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"VISITDY = TV.VISITDY",NA,NA,NA
"CG0033","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"VISITNUM in TV.VISITNUM",NA,NA,NA
"CG0034","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"VISITNUM in SV.VISITNUM",NA,NA,NA
"CG0035","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"VISIT and VISITNUM have a one-to-one relationship",NA,NA,NA
"CG0037","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--SOCCD = --BDSYCD",NA,NA,NA
"CG0039","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"--BODSYS = --SOC",NA,NA,NA
"CG0040","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AEOCCUR not present in dataset",NA,NA,NA
"CG0041","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESER = 'Y'",NA,NA,NA
"CG0042","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESER = 'N'",NA,NA,NA
"CG0043","sdtm-ig-v2.0","CDISC","SDTM-IG","3.2;3.3;3.4","Medium","predicate",NA,"predicate",NA,NA,NA,NA,NA,NA,NA,"AESMIE = 'Y'",NA,NA,NA
