"core_id","cg_ids","tig_ids","fb_ids","rule_type","description","outcome_message","core_executable","cg_executability","overlap_type"
"CORE-000001","CG0176","TIG0405","","Record Data","Raise an error when IECAT is equal to 'INCLUSION' and IEORRES is not equal to 'N'.","IEORRES is not equal to 'N' when IECAT equals 'INCLUSION'.",TRUE,"predicate","true-duplicate"
"CORE-000002","CG0208","","","Record Data","Raise an error when SESTDTC is null.","SESTDTC is required.",TRUE,"predicate","true-duplicate"
"CORE-000003","CG0299","","","Record Data","Raise an error when TRLOC is present.","TRLOC is present when TRLOC is not included in the TR domain.",TRUE,"predicate","true-duplicate"
"CORE-000004","CG0101","TIG0366","","Record Data","When ECOCCUR indicates no dose, then ECDOSE needs to be null or > 0; it cannot be used to indicate a dose wasn't taken.","ECOCCUR indicates dose was not given, but ECDOSE is not blank or has a value less than or equal to 0",TRUE,"narrative","core-is-better"
"CORE-000005","CG0102","","","Record Data","When EXTRT is PLACEBO, EXDOSE must equal 0","EXTRT is PLACEBO, but EXDOSE is not equal to 0.",TRUE,"predicate","true-duplicate"
"CORE-000006","CG0131","TIG0381","","Record Data","Raise an error when DTHFL ^= ""Y"" and not null","DTHFL is not ""Y"" or null",TRUE,"predicate","true-duplicate"
"CORE-000007","CG0435","TIG0587","FB0606","Record Data","When Date/Time of Death (DTHDTC) in the DM dataset is populated then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the correspon","DTHDTC is populated but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000008","CG0132","","FB0601","Record Data","When survival status is completed as 'DEAD' in the SS dataset then death flag (DTHFL) should be populated as 'Y' in the DM dataset for the correspondi","SSTRESC in SS dataset is ""DEAD"", but DTHFL in DM dataset is not ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000009","CG0152","TIG0393; TIG0061","","Record Data","Verify that ELEMENT value is blank when ETCD is equal to UNPLAN","ELEMENT variable has a non-null value when ETCD has a value of 'UNPLAN'",TRUE,"predicate","true-duplicate"
"CORE-000010","CG0153","TIG0394","","Record Data","Verify ARMCD value length is <= 20","ARMCD value length is greater than 20",TRUE,"predicate","true-duplicate"
"CORE-000011","CG0175","TIG0404","","Record Data","Raise an error when IECAT is equal to 'EXCLUSION' and IEORRES is not equal to 'Y'.","IEORRES is not equal to 'Y' when IECAT equals 'EXCLUSION'.",TRUE,"predicate","true-duplicate"
"CORE-000012","CG0040","TIG0319","","Record Data","Raise an error when AEOCCUR exists in AE dataset.","AEOCCUR is present in AE dataset.",TRUE,"predicate","true-duplicate"
"CORE-000013","CG0044","TIG0323","","Record Data","Raise an error when AESTAT is present in AE dataset.","AESTAT variable is present in AE dataset.",TRUE,"predicate","true-duplicate"
"CORE-000014","CG0087","TIG0352","","Record Data","Raise an error when --PRESP is not equals to ""Y"" and --OCCUR is present in dataset or --STAT is equal to ""NOT DONE"" and --OCCUR is not blank","--OCCUR should only be provided when --PRESP is equal to ""Y"".",TRUE,"predicate","true-duplicate"
"CORE-000015","CG0088","TIG0353","","Record Data","Raise an error when --PRESP does not exists in a dataset and --OCCUR exist.","--PRESP is missing in dataset when --OCCUR is present.",TRUE,"predicate","true-duplicate"
"CORE-000016","CG0089","TIG0354","","Record Data","Raise an error when --OCCUR is not empty and --PRESP is not equal to ""Y"".","--PRESP should be populated as ""Y"" when --OCCUR is provided.",TRUE,"predicate","true-duplicate"
"CORE-000017","CG0166","TIG0398","","Record Data","Raise an error when RDOMAIN is null when IDVARVAL is not null.","RDOMAIN has a missing value when IDVARVAL has a non-missing value.",TRUE,"predicate","true-duplicate"
"CORE-000018","CG0086","TIG0351","","Record Data","Raise an error when --PRESP is equal to ""Y"", --STAT is blank, --OCCUR is present in dataset and --OCCUR is blank","--OCCUR is blank when --PRESP is equal to ""Y"" and --STAT is not provided.",TRUE,"predicate","true-duplicate"
"CORE-000019","CG0311","TIG0486; TIG0211","","Variable Metadata Check","Raise and error if Variable label length > 40 characters","Variable label length should be less than or equal to 40 characters",TRUE,"predicate","true-duplicate"
"CORE-000020","CG0206","TIG0426","","Record Data","Raise an error when ETCD=""UNPLAN"" and TAETORD is not null.","TAETORD should be null when ETCD = 'UNPLAN'.",TRUE,"predicate","true-duplicate"
"CORE-000021","CG0397","TIG0559","","Record Data","Raise an error when the value for --STRESC is null.","--STRESC should not be blank when either --ORRES is provided or --DRVFL = 'Y' .",TRUE,"predicate","true-duplicate"
"CORE-000022","CG0041","TIG0320","","Record Data","Raise an error when AESCAN, AESCONG, AESDISAB, AESDTH, AESHOSP, AESLIFE, AESOD or AESMIE = 'Y' and AESER = 'N' or is empty.","At least one of the Seriousness criteria (AESCAN, AESCONG, AESDISAB, AESDTH, AESHOSP, AESLIFE, AESOD or AESMIE)  = 'Y', ",TRUE,"predicate","true-duplicate"
"CORE-000023","CG0084","TIG0349","","Record Data","Raise an error when --TOXGR is not present in dataset, but --TOX is present","--TOX present in dataset even though --TOXGR is not",TRUE,"predicate","true-duplicate"
"CORE-000024","CG0082","TIG0347","","Record Data","Raise an error if --BODSYS is not empty, --BDSYCD is empty","--BODSYS is not empty and --BDSYCD is empty",TRUE,"predicate","true-duplicate"
"CORE-000025","CG0177","TIG0406","","Record Data","IESTRESC is not equal to IEORRES","IESTRESC is not equal to IEORRES",TRUE,"predicate","true-duplicate"
"CORE-000026","CG0468","TIG0598","","Record Data","When --TPT is present in a dataset, --TPTNUM must also be present.","The --TPTNUM variable does not exist when --TPT does exist.",TRUE,"predicate","true-duplicate"
"CORE-000027","CG0328; CG0329","TIG0496; TIG0497; TIG0141","","Record Data","Either TEENRL or TEDUR must be present for each Element.","At least one of TEENRL and TEDUR must be populated.",TRUE,"predicate","true-duplicate"
"CORE-000028","CG0008","TIG0293","","Record Data","Raise an error when --TPTREF is empty, but --ELTM is not empty","--TPTREF is empty and --ELTM is not empty",TRUE,"predicate","true-duplicate"
"CORE-000029","CG0661","TIG0697","","Record Data","Raise an error when --TPTNUM exists in a dataset and --TPT does not exist.","--TPTNUM exists in a dataset, but --TPT does not exist. When time points are represented in SDTMIG domains, both --TPT a",TRUE,"predicate","true-duplicate"
"CORE-000030","CG0053","TIG0329","","Record Data","Raise and error when --REASND is present in dataset and --PRESP is not present in dataset","--REASND should not be present in dataset when --PRESP is not present in dataset",TRUE,"predicate","true-duplicate"
"CORE-000031","CG0659","","","Record Data","--EVAL must not be used to model QRS data.   This includes the 'QS' and 'FT' domains as well as the 'RS' domain when the record pertains to a Clinical","--EVAL is present.  --EVAL must not be used to model QRS data.",TRUE,"predicate","true-duplicate"
"CORE-000032","CG0660","","","Record Data","--EVALID must not be used to model QRS data.   This includes the 'QS' and 'FT' domains as well as the 'RS' domain when the record pertains to a Clinic","--EVALID is present.  --EVALID must not be used to model QRS data.",TRUE,"predicate","true-duplicate"
"CORE-000033","CG0065","TIG0337","","Record Data","Raise an error when DSTERM = ""COMPLETED"" and DSDECOD not equal to ""COMPLETED"".","DSDECOD is not equal to ""COMPLETED"" when DSTERM equals ""COMPLETED"".",TRUE,"predicate","true-duplicate"
"CORE-000034","CG0069","TIG0339","","Record Data","Raise an error when DSSTDTC is not equal to DM.DTHDTC and DSDECOD is equal to ""DEATH""","DSSTDTC does not equal DM.DTHDTC, when DSDECOD equals ""DEATH"".",TRUE,"predicate","true-duplicate"
"CORE-000035","CG0658","TIG0696","","Record Data","Raise an error when SVPRESP is null and VISITDY is not null.","VISITDY is populated when SVPRESP is null.  VISITDY is the Planned Study Day of a visit. It should not be populated for ",TRUE,"predicate","true-duplicate"
"CORE-000036","CG0657","TIG0695","","Record Data","Raise an error when SVPRESP is ""Y"" and VISIT is not present in TV.VISIT.","Planned visit is not found in TV.",TRUE,"predicate","true-duplicate"
"CORE-000037","CG0653","TIG0691","","Record Data","Raise an error when SVPRESP not ""Y"" or null.","SVPRESP is not null and not equal to ""Y"". Values should be ""Y"" or null.",TRUE,"predicate","true-duplicate"
